word,p1,p2,p3,p4,p5,p6,p7,p8
ಹುಡುಗಿ,ಹುಡುಗಿ,ಹುಡುಗಿಯನ್ನು,ಹುಡುಗಿಯಿಂದ,ಹುಡುಗಿಗೆ,ಹುಡುಗಿಯಿಂದ,ಹುಡುಗಿಯ,ಹುಡುಗಿಯಲ್ಲಿ,ಹುಡುಗಿಯೇ
ಮಹಿಳೆ,ಮಹಿಳೆ,ಮಹಿಳೆಯನ್ನು,ಮಹಿಳೆಯಿಂದ,ಮಹಿಳೆಗೆ,ಮಹಿಳೆಯಿಂದ,ಮಹಿಳೆಯ,ಮಹಿಳೆಯಲ್ಲಿ,ಮಹಿಳೆಯೇ
ರಾಣಿ,ರಾಣಿ,ರಾಣಿಯನ್ನು,ರಾಣಿಯಿಂದ,ರಾಣಿಗೆ,ರಾಣಿಯಿಂದ,ರಾಣಿಯ,ರಾಣಿಯಲ್ಲಿ,ರಾಣಿಯೇ
ತಾಯಿ,ತಾಯಿ,ತಾಯಿಯನ್ನು,ತಾಯಿಯಿಂದ,ತಾಯಿಗೆ,ತಾಯಿಯಿಂದ,ತಾಯಿಯ,ತಾಯಿಯಲ್ಲಿ,ತಾಯಿಯೇ
ಅಕ್ಕ,ಅಕ್ಕ,ಅಕ್ಕನನ್ನು,ಅಕ್ಕನಿಂದ,ಅಕ್ಕನಿಗೆ,ಅಕ್ಕನಿಂದ,ಅಕ್ಕನ,ಅಕ್ಕನಲ್ಲಿ,ಅಕ್ಕನೇ
ತಂಗಿ,ತಂಗಿ,ತಂಗಿಯನ್ನು,ತಂಗಿಯಿಂದ,ತಂಗಿಗೆ,ತಂಗಿಯಿಂದ,ತಂಗಿಯ,ತಂಗಿಯಲ್ಲಿ,ತಂಗಿಯೇ
ಮಗಳು,ಮಗಳು,ಮಗಳನ್ನು,ಮಗಳಿಂದ,ಮಗಳಿಗೆ,ಮಗಳಿಂದ,ಮಗಳ,ಮಗಳಲ್ಲಿ,ಮಗಳೇ
ಹೆಂಡತಿ,ಹೆಂಡತಿ,ಹೆಂಡತಿಯನ್ನು,ಹೆಂಡತಿಯಿಂದ,ಹೆಂಡತಿಗೆ,ಹೆಂಡತಿಯಿಂದ,ಹೆಂಡತಿಯ,ಹೆಂಡತಿಯಲ್ಲಿ,ಹೆಂಡತಿಯೇ
ಅತ್ತಿಗೆ,ಅತ್ತಿಗೆ,ಅತ್ತಿಗೆಯನ್ನು,ಅತ್ತಿಗೆಯಿಂದ,ಅತ್ತಿಗೆಗೆ,ಅತ್ತಿಗೆಯಿಂದ,ಅತ್ತಿಗೆಯ,ಅತ್ತಿಗೆಯಲ್ಲಿ,ಅತ್ತಿಗೆಯೇ
ಅತ್ತೆ,ಅತ್ತೆ,ಅತ್ತೆಯನ್ನು,ಅತ್ತೆಯಿಂದ,ಅತ್ತೆಗೆ,ಅತ್ತೆಯಿಂದ,ಅತ್ತೆಯ,ಅತ್ತೆಯಲ್ಲಿ,ಅತ್ತೆಯೇ
ಅಜ್ಜಿ,ಅಜ್ಜಿ,ಅಜ್ಜಿಯನ್ನು,ಅಜ್ಜಿಯಿಂದ,ಅಜ್ಜಿಗೆ,ಅಜ್ಜಿಯಿಂದ,ಅಜ್ಜಿಯ,ಅಜ್ಜಿಯಲ್ಲಿ,ಅಜ್ಜಿಯೇ
ಸೊಸೆ,ಸೊಸೆ,ಸೊಸೆಯನ್ನು,ಸೊಸೆಯಿಂದ,ಸೊಸೆಗೆ,ಸೊಸೆಯಿಂದ,ಸೊಸೆಯ,ಸೊಸೆಯಲ್ಲಿ,ಸೊಸೆಯೇ
ನಾದಿನಿ,ನಾದಿನಿ,ನಾದಿನಿಯನ್ನು,ನಾದಿನಿಯಿಂದ,ನಾದಿನಿಗೆ,ನಾದಿನಿಯಿಂದ,ನಾದಿನಿಯ,ನಾದಿನಿಯಲ್ಲಿ,ನಾದಿನಿಯೇ
ದೇವತೆ,ದೇವತೆ,ದೇವತೆಯನ್ನು,ದೇವತೆಯಿಂದ,ದೇವತೆಗೆ,ದೇವತೆಯಿಂದ,ದೇವತೆಯ,ದೇವತೆಯಲ್ಲಿ,ದೇವತೆಯೇ
ಗೊಂಬೆ,ಗೊಂಬೆ,ಗೊಂಬೆಯನ್ನು,ಗೊಂಬೆಯಿಂದ,ಗೊಂಬೆಗೆ,ಗೊಂಬೆಯಿಂದ,ಗೊಂಬೆಯ,ಗೊಂಬೆಯಲ್ಲಿ,ಗೊಂಬೆಯೇ
